,index,School,Type,startSalary,midSalary,mid10,mid25,mid75,mid90
0,230,Black Hills State University,State,35300.0,43900.0,27000.0,32200.0,60900.0,87600.0
1,229,Montana State University - Billings,State,37900.0,50600.0,22600.0,31800.0,78500.0,98900.0
2,228,Southern Utah University,State,41900.0,56500.0,30700.0,39700.0,78400.0,116000.0
3,227,Pittsburg State University,State,40400.0,58200.0,25600.0,46000.0,84600.0,117000.0
4,226,Austin Peay State University,State,37700.0,59200.0,32200.0,40500.0,73900.0,96200.0
5,225,Morehead State University,State,34800.0,60600.0,34300.0,46500.0,72000.0,91300.0
6,224,University of Wisconsin (UW) - Green Bay,State,35800.0,60600.0,35500.0,46800.0,81800.0,102000.0
7,223,Tarleton State University (TSU),State,40800.0,62400.0,32100.0,47400.0,80400.0,126000.0
8,222,Kent State University,State,38700.0,62600.0,36100.0,45800.0,87000.0,124000.0
9,221,Arkansas State University (ASU),State,38700.0,63300.0,33600.0,45300.0,83900.0,118000.0
10,220,University of Southern Maine,State,39400.0,63600.0,40400.0,47900.0,85700.0,117000.0
11,47,Evergreen State College,Liberal Arts,39500.0,63900.0,38800.0,47200.0,91600.0,120000.0
12,219,University of Wisconsin (UW) - Stevens Point,State,39800.0,64000.0,38400.0,45100.0,95400.0,128000.0
13,218,University of North Carolina at Wilmington (UNCW),State,37500.0,64400.0,32100.0,46600.0,97100.0,129000.0
14,217,Ball State University (BSU),State,39100.0,64500.0,35500.0,48200.0,89300.0,128000.0
15,216,University of Wisconsin (UW) - Eau Claire,State,41400.0,64800.0,35000.0,47300.0,93100.0,125000.0
16,215,University of Missouri - Kansas City (UMKC),State,38900.0,65800.0,36300.0,48100.0,95800.0,124000.0
17,214,State University of New York (SUNY) at Fredonia,State,37800.0,66200.0,32800.0,44200.0,93300.0,181000.0
18,213,University of Wisconsin (UW) - Oshkosh,State,39300.0,66400.0,37700.0,49700.0,90100.0,138000.0
19,212,Western Carolina University,State,36900.0,66600.0,39000.0,49500.0,94400.0,133000.0
20,211,University of Missouri - St. Louis (UMSL),State,41400.0,67100.0,36800.0,49600.0,97600.0,144000.0
21,210,Utah Valley State College,State,42400.0,67100.0,27000.0,44100.0,84900.0,110000.0
22,209,East Carolina University (ECU),State,40200.0,67500.0,38400.0,52000.0,98700.0,151000.0
23,208,University of Wisconsin (UW) - Stout,State,43600.0,68300.0,40900.0,50600.0,91600.0,136000.0
24,207,Virginia Commonwealth University (VCU),State,42000.0,68400.0,37400.0,51900.0,100000.0,123000.0
25,206,Appalachian State University,State,40400.0,69100.0,37200.0,50400.0,90800.0,115000.0
26,205,University of Wisconsin (UW) - La Crosse,State,42200.0,69300.0,37500.0,47200.0,93100.0,133000.0
27,204,Missouri State University (MSU),State,36100.0,69500.0,33300.0,46900.0,102000.0,134000.0
28,203,Boise State University (BSU),State,40800.0,69500.0,37400.0,48700.0,87500.0,110000.0
29,202,University of Memphis (U of M),State,41400.0,69700.0,36100.0,49100.0,93500.0,127000.0
30,201,University of Alabama at Birmingham (UAB),State,39200.0,70100.0,43000.0,53400.0,91400.0,125000.0
31,200,State University of New York (SUNY) at Potsdam,State,38000.0,70300.0,35100.0,51200.0,100000.0,179000.0
32,199,University of Akron,State,41100.0,70300.0,40600.0,53300.0,95200.0,127000.0
33,198,University of Texas at San Antonio (UTSA),State,42500.0,70700.0,39100.0,49800.0,92700.0,121000.0
34,196,Portland State University (PSU),State,42600.0,70900.0,40700.0,52300.0,94400.0,123000.0
35,197,Eastern Washington University,State,38600.0,70900.0,36000.0,50500.0,93100.0,117000.0
36,194,Florida Atlantic University (FAU),State,42600.0,71100.0,40700.0,53000.0,99500.0,137000.0
37,195,University of South Florida (USF),State,41100.0,71100.0,39600.0,51500.0,98100.0,131000.0
38,193,Humboldt State University,State,42600.0,71300.0,36000.0,56300.0,94400.0,117000.0
39,191,University of Wisconsin (UW) - Parkside,State,40700.0,71400.0,40900.0,53100.0,84900.0,119000.0
40,192,"California State University (CSU), Stanislaus",State,38000.0,71400.0,33700.0,50500.0,94100.0,121000.0
41,190,St. Cloud State University,State,41800.0,71400.0,38700.0,49400.0,101000.0,126000.0
42,189,"University of Nevada, Las Vegas (UNLV)",State,45200.0,71600.0,39000.0,52400.0,100000.0,128000.0
43,187,University of Central Florida (UCF),State,42600.0,71700.0,39500.0,51500.0,98400.0,125000.0
44,188,University of South Carolina,State,40000.0,71700.0,36300.0,49900.0,98400.0,131000.0
45,186,University of Montana,State,37300.0,71900.0,37000.0,51500.0,96400.0,138000.0
46,184,Eastern Michigan University,State,40300.0,72100.0,37900.0,52800.0,95400.0,135000.0
47,183,University Of Maine,State,41200.0,72100.0,41700.0,55600.0,99300.0,141000.0
48,182,"California State University, Dominguez Hills (CSUDH)",State,42700.0,72100.0,30800.0,47000.0,92200.0,132000.0
49,181,University of Texas at El Paso (UTEP),State,43400.0,72100.0,37700.0,50400.0,99500.0,133000.0
50,185,Bowling Green State University,State,39800.0,72100.0,38200.0,51800.0,101000.0,146000.0
51,180,Southern Illinois University Carbondale,State,43000.0,72500.0,38300.0,51300.0,99300.0,139000.0
52,177,"University of Alaska, Anchorage",State,45900.0,72600.0,39800.0,56600.0,99300.0,137000.0
53,178,Fitchburg State College,State,42400.0,72600.0,43300.0,56100.0,99600.0,151000.0
54,179,University of Nebraska at Omaha,State,41500.0,72600.0,39500.0,54400.0,97400.0,126000.0
55,46,Lewis & Clark College,Liberal Arts,38900.0,72600.0,38200.0,53400.0,104000.0,140000.0
56,33,Florida State University (FSU),Party,42100.0,73000.0,39600.0,52800.0,107000.0,156000.0
57,176,Florida State University (FSU),State,42100.0,73000.0,39600.0,52800.0,107000.0,156000.0
58,175,Cleveland State University,State,43500.0,73100.0,39500.0,51600.0,97000.0,137000.0
59,174,Illinois State University,State,42000.0,73400.0,39100.0,55200.0,105000.0,142000.0
60,32,Ohio University,Party,42200.0,73400.0,36600.0,52800.0,106000.0,150000.0
61,173,Ohio University,State,42200.0,73400.0,36600.0,52800.0,106000.0,150000.0
62,172,Idaho State University,State,44900.0,73400.0,35400.0,49600.0,101000.0,143000.0
63,171,South Dakota State University (SDSU),State,41100.0,73500.0,34100.0,49900.0,99400.0,129000.0
64,170,Western Michigan University (WMU),State,42300.0,73800.0,40100.0,52500.0,103000.0,135000.0
65,168,University of North Carolina at Charlotte (UNCC),State,43100.0,74000.0,38200.0,53200.0,99500.0,133000.0
66,169,Georgia State University,State,41800.0,74000.0,43000.0,55300.0,99900.0,145000.0
67,167,Penn State - Harrisburg,State,45700.0,74000.0,44000.0,53100.0,104000.0,150000.0
68,166,University of Arkansas - Monticello (UAM),State,39200.0,74500.0,32800.0,46100.0,110000.0,161000.0
69,165,University of Wisconsin (UW) - Milwaukee,State,42300.0,74600.0,40600.0,54000.0,93700.0,123000.0
70,164,University of Tennessee,State,43800.0,74600.0,41900.0,53200.0,106000.0,153000.0
71,31,University of Tennessee,Party,43800.0,74600.0,41900.0,53200.0,106000.0,153000.0
72,163,Minnesota State University - Mankato,State,43300.0,74700.0,39500.0,53800.0,95700.0,140000.0
73,162,Western Washington University,State,42700.0,75400.0,41300.0,56700.0,99200.0,119000.0
74,161,University of Wisconsin (UW) - Whitewater,State,40800.0,75500.0,38200.0,53500.0,99300.0,150000.0
75,160,Florida International University (FIU),State,43200.0,75500.0,40500.0,55800.0,98200.0,136000.0
76,159,University of Toledo,State,43100.0,75900.0,40100.0,54100.0,100000.0,133000.0
77,158,University of Hawaii,State,43800.0,76000.0,40400.0,56300.0,104000.0,128000.0
